,Código,Cod,Nome Comercial,Div. Yeld,P/VP
42,AMBV4,"""AMBV4"",",AMBEV,"0,0%","8,74"
43,AMER3,"""AMER3"",",AMERICANAS,"0,0%","1,77"
44,AMIL3,"""AMIL3"",",AMIL,"0,0%","7,70"
45,AMPI3,"""AMPI3"",",AMPLA INVEST,"0,0%","2,74"
46,ANIM3,"""ANIM3"",",ANIMA,"0,0%","1,31"
47,APER3,"""APER3"",",ALPER S.A.,"0,0%","1,76"
48,APTI4,"""APTI4"",",ALIPERTI,"0,0%","0,26"
49,ARCE3,"""ARCE3"",",BELGO,"0,0%","2,60"
50,ARCZ3,"""ARCZ3"",",ARACRUZ CELULOSE SA,"0,0%","1,95"
51,ARCZ6,"""ARCZ6"",",ARACRUZ CELULOSE SA,"0,0%","1,94"
52,ARLA3,"""ARLA3"",",ARTHUR LANGE,"0,0%","-0,4"
53,ARLA4,"""ARLA4"",",ARTHUR LANGE,"0,0%","-0,6"
54,ARML3,"""ARML3"",",ARMAC,"0,0%","6,99"
55,ARPS3,"""ARPS3"",",DOUAT CIA TEXTIL,"0,0%","0,00"
56,ARPS4,"""ARPS4"",",DOUAT CIA TEXTIL,"0,0%","0,00"
57,ARTE3,"""ARTE3"",",KUALA S.A.,"0,0%","-0,0"
58,ARTE4,"""ARTE4"",",KUALA S.A.,"0,0%","-0,0"
59,ARTR3,"""ARTR3"",",ARTERIS,"0,0%","0,88"
60,ARZZ3,"""ARZZ3"",",AREZZO CO,"1,1%","5,28"
61,ASAI3,"""ASAI3"",",ASSAI,"0,9%","7,01"
62,ASSM3,"""ASSM3"",",HOTEIS ELDORADO,"0,0%","-0,1"
63,ASSM4,"""ASSM4"",",HOTEIS ELDORADO,"0,0%","-0,1"
64,ASTA4,"""ASTA4"",",SANTISTA TÊXTIL S.A.,"0,0%","1,00"
65,ATMP3,"""ATMP3"",",ATMASA,"0,0%","0,38"
66,ATOM3,"""ATOM3"",",ATOMPAR,"9,1%","3,84"
67,AURA33,"""AURA33"",",AURA 360,"12,8","2,42"
68,AUTM3,"""AUTM3"",",AUTOMETAL,"0,0%","1,90"
69,AVIL3,"""AVIL3"",",ACOS VILLARES,"0,0%","4,16"
70,AVLL3,"""AVLL3"",",ALPHAVILLE,"0,0%","5,13"
71,AZEV3,"""AZEV3"",",AZEVEDO & TRAVASSOS,"0,0%","4,87"
72,AZEV4,"""AZEV4"",",AZEVEDO & TRAVASSOS,"0,0%","3,97"
73,AZUL4,"""AZUL4"",",AZUL,"0,0%","-0,5"
74,B3SA3,"""B3SA3"",",B3,"5,9%","3,83"
75,BAHI11,"""BAHI11"",",BAHEMA,"0,0%","0,37"
76,BAHI3,"""BAHI3"",",BAHEMA,"0,0%","1,65"
77,BAHI4,"""BAHI4"",",BAHEMA,"0,0%","9,86"
78,BAHI5,"""BAHI5"",",BAHEMA,"0,0%","7,45"
79,BALM3,"""BALM3"",",BAUMER,"2,2%","1,28"
80,BALM4,"""BALM4"",",BAUMER,"3,4%","0,97"
81,BAUH4,"""BAUH4"",",EXCELSIOR,"0,8%","4,50"
82,BAZA3,"""BAZA3"",",BANCO DA AMAZONIA S.A.,"6,6%","0,41"
83,BBAS3,"""BBAS3"",",BANCO DO BRASIL S.A.,"7,1%","0,67"
84,BBDC3,"""BBDC3"",",BANCO BRADESCO S.A.,"5,0%","1,22"
85,BBDC4,"""BBDC4"",",BANCO BRADESCO S.A.,"4,6%","1,48"
86,BBRK3,"""BBRK3"",",BR Brokers,"0,0%","2,31"
87,BBSE3,"""BBSE3"",",BBSEGURIDADE,"4,4%","5,86"
88,BBTG11,"""BBTG11"",",BTG PACTUAL UNITS,"0,0%","0,00"
89,BBTG12,"""BBTG12"",",BTG PACTUAL,"0,0%","0,00"
90,BBTG13,"""BBTG13"",",BTG PACTUAL,"0,0%","0,00"
91,BCAL6,"""BCAL6"",",PRO METALURG,"0,0%","-0,0"
92,BDLL3,"""BDLL3"",",BAEDELLA,"0,0%","-0,0"
93,BDLL4,"""BDLL4"",",BAEDELLA,"0,0%","-0,0"
94,BECE3,"""BECE3"",",BEC,"0,0%","8,72"
95,BECE4,"""BECE4"",",BEC,"0,0%","8,38"
96,BEEF3,"""BEEF3"",",Minerva,"10,8","11,4"
97,BEES3,"""BEES3"",",BANESTES S/A,"6,7%","0,88"
98,BEES4,"""BEES4"",",BANESTES S/A,"6,1%","0,96"
99,BELG3,"""BELG3"",",BELGO,"0,0%","0,07"
100,BELG4,"""BELG4"",",BELGO,"0,0%","0,07"
101,BEMA3,"""BEMA3"",",Bematech,"0,0%","1,22"
102,BERG3,"""BERG3"",",BERGAMO,"0,0%","0,00"
103,BESP3,"""BESP3"",",BANESPA,"0,0%","2,47"
104,BESP4,"""BESP4"",",BANESPA,"0,0%","2,57"
105,BFIT3,"""BFIT3"",",BANCO SUDAMERIS BRASIL SA,"0,0%","2,06"
106,BFIT4,"""BFIT4"",",BANCO SUDAMERIS BRASIL SA,"0,0%","1,96"
107,BGIP3,"""BGIP3"",",BANESE,"3,2%","0,98"
